partida_id,rodada,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
5171,19,Corinthians,10,0,64.0,546,,8,1,0,1,0
5171,19,Avaí,13,0,36.0,282,,15,0,0,5,8
5175,19,Grêmio,17,0,69.0,619,,10,1,0,2,10
5175,19,Joinville,11,0,31.0,282,,18,0,0,1,4
5176,19,Atlético Mineiro,12,0,64.0,538,,8,3,1,2,7
5176,19,Chapecoense,13,0,36.0,313,,12,4,0,1,3
5177,20,Vasco da Gama,5,0,49.0,407,,13,2,2,4,2
5177,20,Goiás,13,0,51.0,406,,16,3,0,2,4
5178,20,Santos,17,0,59.0,538,,14,1,0,1,7
5178,20,Avaí,16,0,41.0,364,,12,3,0,1,2
5179,20,Figueirense,9,0,41.0,284,,19,1,0,8,8
5179,20,Sport,10,0,59.0,429,,13,3,0,1,6
5180,20,Coritiba,9,0,46.0,374,,19,3,0,0,5
5180,20,Chapecoense,11,0,54.0,447,,17,3,0,2,0
5181,20,Ponte Preta,25,0,58.0,587,,12,1,0,3,6
5181,20,Grêmio,3,0,42.0,437,,13,1,0,1,1
5182,20,Fluminense,20,8,54.0,379,,15,2,0,5,4
5182,20,Joinville,11,4,46.0,320,,26,3,0,3,3
5183,20,Athletico Paranaense,8,0,53.0,491,,12,3,0,2,0
5183,20,Internacional,15,0,47.0,430,,10,1,0,0,8
5184,20,Corinthians,16,0,39.0,387,,12,2,0,0,3
5184,20,Cruzeiro,12,0,61.0,590,,7,1,0,6,6
5185,20,Flamengo,22,0,44.0,277,,25,4,0,2,10
5185,20,São Paulo,9,0,56.0,364,,15,2,0,2,5
5186,20,Atlético Mineiro,18,0,56.0,472,,13,1,0,5,7
5186,20,Palmeiras,11,0,44.0,386,,12,3,0,2,2
5187,21,Figueirense,12,0,38.0,313,,19,4,0,0,1
5187,21,Vasco da Gama,17,0,62.0,490,,11,2,0,3,7
5188,21,São Paulo,16,0,47.0,496,,16,4,0,2,3
5188,21,Ponte Preta,20,0,53.0,551,,11,0,0,1,7
5189,21,Grêmio,12,0,49.0,385,,13,5,0,2,7
5189,21,Coritiba,11,0,51.0,399,,15,5,0,1,6
5190,21,Avaí,14,0,36.0,290,,14,2,0,2,5
5190,21,Internacional,14,0,64.0,516,,12,2,0,1,8
5191,21,Joinville,8,0,43.0,360,,18,3,0,1,1
5191,21,Palmeiras,15,0,57.0,465,,9,0,0,3,3
5192,21,Fluminense,12,2,43.0,372,,23,3,0,0,0
5192,21,Atlético Mineiro,13,5,57.0,484,,16,4,0,0,6
5193,21,Sport,12,0,38.0,351,,6,1,1,3,4
5193,21,Flamengo,12,0,62.0,575,,19,5,0,2,6
5194,21,Corinthians,15,0,52.0,429,,11,3,0,1,5
5194,21,Chapecoense,12,0,48.0,388,,14,2,0,4,7
5195,21,Cruzeiro,14,0,53.0,505,,17,2,1,1,4
5195,21,Santos,6,0,47.0,469,,12,2,0,1,2
5196,21,Goiás,10,0,36.0,284,,13,3,0,2,3
